id,name,artist,genres,link,img_link,mc_rating,usr_rating
a3c8d3ef-92be-48b4-a67a-2dea5238f803,Savage Mode,21 Savage,"{Rap,'"Southern Rap'",'"Contemporary Rap'"}",/music/savage-mode/metro-boomin,http://static.metacritic.com/images/products/music/53w-release.jpg,,
68e9b915-74eb-4673-98b7-be7dd4ab1794,Issa Album,21 Savage,{Rap},/music/issa-album/21-savage,http://static.metacritic.com/images/products/music/3/9df6d564ea82fb1eab308a14ea25db9b-98.jpg,70,5.4
e211c18e-5424-4403-b691-d0ebf9aaee6c,Without Warning,21 Savage,{Rap},/music/without-warning/21-savage,http://static.metacritic.com/images/products/music/6/d9f39fa0c3a881382da8291601aba928-98.jpg,78,7.1
8a06d883-1800-4eb4-8cff-8738bfcad5ee,22-20s,22-20s,"{Indie,Rock}",/music/22-20s/22-20s,http://static.metacritic.com/images/products/music/1/cdc2dcd16fc7a9ea8b89ccb9ea2a3541-98.jpg,61,7.9
08d4d712-ca9f-4cd4-b89d-cd80c5cbd135,Beyond Time: William Turnbull,23 Skidoo,"{Pop/Rock,Soundtracks,'"Stage & Screen'"}",/music/beyond-time-william-turnbull/23-skidoo,http://static.metacritic.com/images/products/music/7/dc220e0a6fba9b16a0a7939e6951bb5e-98.jpg,70,
d04fa343-33d8-45ba-bba4-9125b3e87bb7,OST,24 Hour Party People,"{Rock,Dance,Alternative}",/music/ost/24-hour-party-people,http://static.metacritic.com/images/products/music/8/bc83e879821e1c2dc0061175fe6213c9-98.jpg,86,8.5
79d8ebf3-3cbc-4066-a816-7aadf72c2111,Until The End Of Time,2Pac,{Rap},/music/until-the-end-of-time/2pac,http://static.metacritic.com/images/products/music/8/2d208745cd22a4c378ee25071fcbb352-98.jpg,51,8.8
5e521f89-5ac9-494f-a6e8-1b4cd2c6a566,3 Doors Down,3 Doors Down,"{Rock,Alternative}",/music/3-doors-down/3-doors-down,http://static.metacritic.com/images/products/music/6/2dee426849aa2196a14cb4dcea2d7c31-98.jpg,55,7.8
a6e043bb-40d1-425e-84cc-160953be1e7b,Time of My Life,3 Doors Down,"{'"Alternative/Indie Rock'",'"Alternative Pop/Rock'",Post-Grunge}",/music/time-of-my-life/3-doors-down,http://static.metacritic.com/images/products/music/4/cb3d38da45e2101f93a48a17ecfac91a-98.jpg,49,6.8
8e39e5be-1ab8-4140-a5b5-5876e6b99dfb,Common Courtesy,A Day to Remember,{Pop/Rock},/music/common-courtesy/a-day-to-remember,http://static.metacritic.com/images/products/music/4/b6dd589df1d83a3cbf6e54a8280aabec-98.jpg,80,8.3
dba769b9-95c0-4b84-b8fd-f9f557c27c46,Us and the Night,3 Doors Down,"{Pop/Rock,'"Alternative/Indie Rock'",'"Contemporary Pop/Rock'"}",/music/us-and-the-night/3-doors-down,http://static.metacritic.com/images/products/music/4/8331fdaabc884a211e510f446e401b18-98.jpg,51,6.6
6cf36677-ef40-47c6-858b-6d16e3965cff,Worried Well,31Knots,"{Rock,Alternative}",/music/worried-well/31knots,http://static.metacritic.com/images/products/music/8/51c0177739fb110e3fa324ed7e5186fb-98.jpg,60,6.8
ba41d6f9-4d6d-4c0f-812c-3847ecc65748,Streets Of Gold,3OH!3,{Rock},/music/streets-of-gold/3oh!3,http://static.metacritic.com/images/products/music/9/f99ae1ad6c2a890e540199b67670f9e3-98.jpg,48,3.8
6c1f2099-c5fd-44b6-af03-ac016c994a76,Omens,3OH!3,"{Pop,Rap,Pop/Rock}",/music/omens/3oh!3,http://static.metacritic.com/images/products/music/7/53030968e9824862de4f0938387e4c2c-98.jpg,55,4.8
85ae3855-0abc-4e81-9a69-a605df3a0f2a,5 Seconds of Summer,5 Seconds of Summer,"{Pop,Pop/Rock,'"Teen Pop'"}",/music/5-seconds-of-summer/5-seconds-of-summer,http://static.metacritic.com/images/products/music/1/f8f071da9aecf11510d45354e18260a0-98.jpg,65,5.2
1245afd8-ba4d-47ae-8a08-3ce74c24a57b,Sounds Good Feels Good,5 Seconds of Summer,"{Pop,Pop/Rock,'"Teen Pop'"}",/music/sounds-good-feels-good/5-seconds-of-summer,http://static.metacritic.com/images/products/music/0/40a71b7042bd35717974357f249709ff-98.jpg,67,7
206681c6-78d6-4d04-97dc-b75c1ddeeb1c,Get Rich Or Die Tryin',50 Cent,{Rap},/music/get-rich-or-die-tryin/50-cent,http://static.metacritic.com/images/products/music/9/1a338c02523bda89c2a2a4bbd6d6b593-98.jpg,73,8.3
